,k,P
0,2.097837747762e-07,0.4006966979516
1,8.597233459334e-07,1.562790577872
2,1.509667011122e-06,2.690546344287
3,2.159619211977e-06,3.800831024263
4,2.809584390292e-06,4.89928533907
5,3.459566988123e-06,5.988803085033
6,4.109571447888e-06,7.071152188081
7,4.759602212468e-06,8.147526512666
8,5.40966372531e-06,9.218787138428
9,6.059760430526e-06,10.28558492991
10,6.709896772995e-06,11.34842947929
11,7.360077198464e-06,12.40773087686
12,8.010306153653e-06,13.46382649919
13,8.660588086349e-06,14.51699898006
14,9.310927445514e-06,15.56748871569
15,9.961328681384e-06,16.6155028346
16,1.061179624557e-05,17.66122179874
17,1.126233459116e-05,18.70480436881
18,1.191294817282e-05,19.74639141067
19,1.256364144689e-05,20.7861088621
20,1.321441887152e-05,21.8240700792
21,1.38652849067e-05,22.86037771632
22,1.451624401444e-05,23.89512524992
23,1.516730065882e-05,24.9283982268
24,1.581845930612e-05,25.96027529617
25,1.64697244249e-05,26.9908290705
26,1.712110048612e-05,28.02012684914
27,1.777259196324e-05,29.04823123093
28,1.842420333232e-05,30.07520063648
29,1.90759390721e-05,31.10108975589
30,1.972780366414e-05,32.12594993499
31,2.037980159291e-05,33.14982951013
32,2.103193734588e-05,34.17277409992
33,2.168421541363e-05,35.19482686053
34,2.233664028995e-05,36.21602871013
35,2.298921647197e-05,37.2364185269
36,2.36419484602e-05,38.25603332458
37,2.429484075872e-05,39.27490840839
38,2.494789787519e-05,40.29307751422
39,2.560112432105e-05,41.31057293312
40,2.625452461153e-05,42.3274256231
41,2.690810326582e-05,43.34366530972
42,2.756186480716e-05,44.35932057688
43,2.82158137629e-05,45.374418949
44,2.886995466469e-05,46.38898696553
45,2.95242920485e-05,47.40305024874
46,3.017883045476e-05,48.41663356544
47,3.083357442848e-05,49.42976088337
48,3.148852851933e-05,50.44245542284
49,3.214369728175e-05,51.45473970397
50,3.279908527507e-05,52.46663559018
51,3.345469706359e-05,53.47816432817
52,3.411053721672e-05,54.48934658475
53,3.476661030905e-05,55.50020248092
54,3.542292092048e-05,56.51075162326
55,3.60794736363e-05,57.52101313314
56,3.673627304733e-05,58.53100567372
57,3.739332375003e-05,59.54074747506
58,3.805063034654e-05,60.55025635747
59,3.870819744487e-05,61.55954975328
60,3.936602965897e-05,62.5686447271
61,4.002413160882e-05,63.57755799479
62,4.068250792058e-05,64.58630594113
63,4.134116322665e-05,65.59490463641
64,4.200010216582e-05,66.60336985195
65,4.265932938335e-05,67.61171707466
66,4.33188495311e-05,68.61996152074
67,4.397866726763e-05,69.62811814851
68,4.463878725828e-05,70.63620167049
69,4.529921417534e-05,71.64422656482
70,4.595995269811e-05,72.65220708601
71,4.662100751302e-05,73.66015727501
72,4.728238331375e-05,74.66809096885
73,4.794408480134e-05,75.67602180963
74,4.860611668429e-05,76.68396325311
75,4.926848367869e-05,77.6919285768
76,4.99311905083e-05,78.69993088763
77,5.059424190468e-05,79.70798312925
78,5.125764260732e-05,80.71609808893
79,5.192139736371e-05,81.7242884041
80,5.258551092949e-05,82.73256656862
81,5.324998806854e-05,83.74094493871
82,5.39148335531e-05,84.74943573858
83,5.458005216389e-05,85.75805106583
84,5.524564869021e-05,86.76680289655
85,5.591162793007e-05,87.77570309024
86,5.657799469026e-05,88.78476339445
87,5.724475378655e-05,89.79399544928
88,5.791191004372e-05,90.80341079159
89,5.857946829572e-05,91.8130208591
90,5.924743338575e-05,92.82283699428
91,5.991581016644e-05,93.8328704481
92,6.058460349989e-05,94.84313238357
93,6.125381825785e-05,95.85363387919
94,6.192345932177e-05,96.86438593223
95,6.259353158298e-05,97.87539946189
96,6.326403994279e-05,98.88668531229
97,6.393498931259e-05,99.89825425543
98,6.460638461396e-05,100.910116994
99,6.527823077884e-05,101.9222841638
100,6.595053274959e-05,102.934766337
101,6.662329547914e-05,103.9475740237
102,6.72965239311e-05,104.960717675
103,6.797022307991e-05,105.9742076853
104,6.864439791089e-05,106.988054394
105,6.931905342044e-05,108.0022680882
106,6.999419461612e-05,109.0168590045
107,7.066982651676e-05,110.0318373311
108,7.134595415261e-05,111.0472132096
109,7.202258256546e-05,112.0629967371
110,7.269971680874e-05,113.0791979676
111,7.337736194767e-05,114.0958269143
112,7.405552305935e-05,115.1128935508
113,7.473420523294e-05,116.130407813
114,7.541341356971e-05,117.1483796007
115,7.609315318323e-05,118.1668187788
116,7.677342919947e-05,119.1857351793
117,7.74542467569e-05,120.2051386023
118,7.813561100667e-05,121.2250388176
119,7.881752711268e-05,122.2454455662
120,7.950000025177e-05,123.2663685611
121,8.018303561379e-05,124.2878174893
122,8.086663840173e-05,125.3098020124
123,8.155081383192e-05,126.3323317682
124,8.223556713407e-05,127.3554163718
125,8.292090355143e-05,128.3790654166
126,8.360682834097e-05,129.4032884756
127,8.429334677341e-05,130.4280951023
128,8.498046413347e-05,131.453494832
129,8.566818571988e-05,132.4794971825
130,8.635651684561e-05,133.5061116555
131,8.704546283796e-05,134.5333477371
132,8.773502903867e-05,135.5612148994
133,8.842522080411e-05,136.5897226007
134,8.911604350537e-05,137.6188802869
135,8.98075025284e-05,138.6486973922
136,9.049960327418e-05,139.6791833402
137,9.119235115879e-05,140.7103475443
138,9.18857516136e-05,141.7421994089
139,9.257981008542e-05,142.7747483303
140,9.327453203655e-05,143.808003697
141,9.396992294503e-05,144.8419748908
142,9.466598830469e-05,145.8766712879
143,9.536273362533e-05,146.9121022588
144,9.606016443286e-05,147.9482771699
145,9.67582862694e-05,148.9852053834
146,9.74571046935e-05,150.022896259
147,9.81566252802e-05,151.0613591534
148,9.885685362119e-05,152.1006034221
149,9.955779532501e-05,153.1406384192
150,0.0001002594560171,154.1814734986
151,0.00010096184134,155.2231180143
152,0.0001016649569536,156.2655813214
153,0.0001023688085349,157.3088727761
154,0.0001030734017788,158.3530017371
155,0.0001037787423974,159.3979775655
156,0.0001044848361212,160.4438096257
157,0.000105191688698,161.4905072862
158,0.0001058993058943,162.5380799195
159,0.0001066076934946,163.5865369035
160,0.0001073168573017,164.6358876213
161,0.0001080268031371,165.6861414622
162,0.0001087375368411,166.7373078222
163,0.0001094490642726,167.7893961041
164,0.0001101613913098,168.8424157188
165,0.0001108745238497,169.896376085
166,0.0001115884678091,170.9512866302
167,0.0001123032291237,172.0071567911
168,0.0001130188137493,173.0639960139
169,0.0001137352276613,174.1218137552
170,0.0001144524768549,175.180619482
171,0.0001151705673455,176.2404226725
172,0.0001158895051689,177.3012328163
173,0.000116609296381,178.3630594154
174,0.0001173299470585,179.4259119839
175,0.0001180514632986,180.4898000491
176,0.0001187738512196,181.5547331516
177,0.0001194971169607,182.6207208457
178,0.0001202212666823,183.6877727002
179,0.0001209463065662,184.7558982986
180,0.0001216722428158,185.8251072393
181,0.0001223990816559,186.8954091365
182,0.0001231268293335,187.9668136203
183,0.0001238554921174,189.0393303372
184,0.0001245850762986,190.1129689507
185,0.0001253155881905,191.1877391412
186,0.0001260470341289,192.2636506071
187,0.0001267794204725,193.3407130645
188,0.0001275127536026,194.4189362484
189,0.0001282470399235,195.4983299121
190,0.000128982285863,196.5789038287
191,0.000129718497872,197.6606677905
192,0.0001304556824248,198.7436316101
193,0.0001311938460197,199.8278051204
194,0.0001319329951787,200.9131981752
195,0.0001326731364479,201.9998206493
196,0.0001334142763976,203.0876824394
197,0.0001341564216224,204.1767934638
198,0.0001348995787417,205.2671636632
199,0.0001356437543993,206.3588030012
200,0.0001363889552642,207.4517214643
201,0.0001371351880304,208.5459290624
202,0.0001378824594172,209.6414358293
203,0.0001386307761694,210.738251823
204,0.0001393801450573,211.8363871258
205,0.0001401305728771,212.9358518453
206,0.0001408820664511,214.0366561139
207,0.0001416346326276,215.13881009
208,0.0001423882782813,216.2423239577
209,0.0001431430103137,217.3472079277
210,0.0001438988356527,218.4534722372
211,0.0001446557612534,219.5611271504
212,0.0001454137940978,220.670182959
213,0.0001461729411953,221.7806499825
214,0.0001469332095828,222.8925385683
215,0.0001476946063249,224.0058590924
216,0.000148457138514,225.1206219596
217,0.0001492208132706,226.2368376038
218,0.0001499856377434,227.3545164883
219,0.0001507516191097,228.4736691064
220,0.0001515187645752,229.5943059814
221,0.0001522870813748,230.7164376673
222,0.000153056576772,231.8400747487
223,0.0001538272580598,232.9652278417
224,0.0001545991325606,234.0919075937
225,0.0001553722076265,235.2201246843
226,0.0001561464906391,236.3498898249
227,0.0001569219890104,237.4812137598
228,0.0001576987101824,238.6141072661
229,0.0001584766616277,239.7485811542
230,0.0001592558508494,240.8846462678
231,0.0001600362853814,242.0223134849
232,0.0001608179727888,243.1615937176
233,0.0001616009206678,244.3024979125
234,0.0001623851366462,245.4450370513
235,0.0001631706283833,246.5892221509
236,0.0001639574035704,247.7350642636
237,0.0001647454699309,248.882574478
238,0.0001655348352203,250.0317639187
239,0.0001663255072268,251.1826437471
240,0.0001671174937711,252.3352251613
241,0.0001679108027072,253.4895193969
242,0.0001687054419219,254.645537727
243,0.0001695014193354,255.8032914626
244,0.0001702987429016,256.9627919533
245,0.0001710974206081,258.1240505868
246,0.0001718974604767,259.2870787901
247,0.000172698870563,260.4518880295
248,0.0001735016589575,261.6184898107
249,0.0001743058337851,262.7868956796
250,0.0001751114032057,263.9571172221
251,0.0001759183754143,265.1291660651
252,0.0001767267586412,266.303053876
253,0.0001775365611522,267.4787923639
254,0.0001783477912491,268.6563932794
255,0.0001791604572695,269.8358684148
256,0.0001799745675874,271.0172296051
257,0.0001807901306131,272.2004887278
258,0.0001816071547937,273.3856577031
259,0.0001824256486132,274.5727484948
260,0.0001832456205928,275.7617731103
261,0.0001840670792911,276.9527436009
262,0.0001848900333042,278.1456720622
263,0.0001857144912663,279.3405706346
264,0.0001865404618494,280.5374515032
265,0.0001873679537641,281.7363268986
266,0.0001881969757593,282.9372090971
267,0.000189027536623,284.1401104209
268,0.0001898596451821,285.3450432386
269,0.0001906933103027,286.5520199653
270,0.0001915285408905,287.7610530633
271,0.0001923653458911,288.9721550423
272,0.00019320373429,290.1853384593
273,0.0001940437151128,291.4006159198
274,0.0001948852974259,292.6180000773
275,0.0001957284903362,293.8375036342
276,0.0001965733029917,295.0591393419
277,0.0001974197445817,296.2829200011
278,0.0001982678243369,297.5088584623
279,0.0001991175515298,298.7369676261
280,0.0001999689354748,299.9672604434
281,0.0002008219855286,301.1997499158
282,0.0002016767110905,302.4344490963
283,0.0002025331216022,303.6713710889
284,0.0002033912265489,304.9105290497
285,0.0002042510354586,306.1519361867
286,0.0002051125579032,307.3956057606
287,0.000205975803498,308.6415510845
288,0.0002068407819026,309.8897855251
289,0.0002077075028208,311.1403225023
290,0.000208575976001,312.39317549
